"dataset_id","dataset_name","original_code","original_name","reason"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"Upper-middle-income Countries","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"World","Could not map country name to standard code"
4,"Sustainable Development Goals (Raw Indicators)",NA,"World","Could not map country name to standard code"
